********************************************************************************
product = WebSphere Application Server 17.0.0.3 (wlp-1.0.18.cl170320170927-1854)
wlp.install.dir = C:/Users/ahatua/Google Drive/fall17/CSC733/assignment2/liberty/
java.home = C:\Program Files\Java\jdk1.8.0_111\jre
java.version = 1.8.0_111
java.runtime = Java(TM) SE Runtime Environment (1.8.0_111-b14)
os = Windows 10 (10.0; amd64) (en_US)
process = 60848@usm217848
********************************************************************************
[11/29/17 19:54:33:957 CST] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0001I: The server defaultServer has been launched.
[11/29/17 19:55:02:821 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:55:05:081 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:55:07:338 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:55:09:591 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:55:11:852 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:55:14:110 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:55:16:377 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:55:18:644 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:55:20:898 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:55:23:156 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:55:25:417 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:55:27:679 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:55:29:935 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:55:32:195 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:55:34:445 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:55:36:700 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:55:38:955 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:55:41:211 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:55:43:463 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:55:45:711 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:55:47:968 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:55:50:227 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:55:52:493 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:55:54:747 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:55:57:005 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:55:59:250 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:56:01:523 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:56:03:794 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:56:06:051 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:56:08:310 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:56:10:565 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:56:12:831 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:56:15:080 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:56:17:325 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:56:19:570 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:56:21:821 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:56:24:073 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:56:26:319 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:56:28:576 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:56:30:839 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:56:33:091 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:56:35:346 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:56:37:605 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:56:39:859 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:56:42:107 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:56:44:541 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:56:46:782 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:56:49:030 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:56:51:306 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:56:53:549 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:56:55:829 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:56:58:076 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:57:00:326 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:57:02:588 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:57:04:858 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:57:07:102 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:57:09:346 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:57:11:591 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:57:13:839 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:57:16:087 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:57:18:331 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:57:20:577 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:57:22:830 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:57:25:077 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:57:27:324 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:57:29:580 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:57:31:821 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:57:34:073 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:57:36:326 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:57:38:570 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:57:40:821 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:57:43:071 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:57:45:322 CST] 0000001a SystemOut                                                    O Sleeping ---------------
[11/29/17 19:57:47:566 CST] 0000001a SystemOut                                                    O Sleeping ---------------
